Date,Open,High,Low,Close,Volume,Adj Close
2007-07-12,876.00,897.00,875.00,877.60,667000,426.835
2007-07-11,867.10,880.95,862.00,874.50,155400,425.327
2007-07-10,884.10,898.00,868.00,872.20,390700,424.208
2007-07-09,871.00,889.10,868.00,883.55,485500,429.728
2007-07-06,850.00,882.00,850.00,866.40,828000,421.387
2007-07-05,866.00,866.00,842.50,853.40,163100,415.065
2007-07-04,870.15,882.40,856.10,859.50,538300,418.031
2007-07-03,843.00,879.00,842.00,866.60,760200,421.485
2007-07-02,835.00,846.40,835.00,837.35,146700,407.258
2007-06-29,844.90,847.00,830.10,835.95,297800,406.577
2007-06-28,843.00,850.00,835.45,842.50,402600,409.763
2007-06-27,852.00,858.90,833.05,839.00,212700,408.061
2007-06-26,839.80,852.10,833.00,850.00,589700,413.411
2007-06-25,825.05,835.55,817.00,833.25,322600,405.264
2007-06-22,821.00,828.00,818.05,823.00,183600,400.279
2007-06-21,824.80,829.45,815.70,818.20,208000,397.944
2007-06-20,822.50,828.45,814.05,824.65,213100,401.082
2007-06-19,806.00,815.90,805.00,812.75,142600,395.294
2007-06-18,824.00,829.00,806.00,808.60,206700,393.275
2007-06-15,825.00,832.00,810.10,812.50,175800,395.172
2007-06-14,802.00,822.50,800.00,818.10,281500,397.896
2007-06-13,810.00,810.00,790.00,797.15,382000,387.706
2007-06-12,824.00,824.00,800.00,807.05,259000,392.521
2007-06-11,822.00,825.00,806.00,810.30,287500,394.102
2007-06-08,817.70,831.80,798.00,815.45,451600,396.607
2007-06-07,815.00,839.00,815.00,821.45,255600,399.525
