Date,Open,High,Low,Close,Volume,Diff,Gain,Loss,Avg. Gain,Avg. Loss,RS,1+RS,RSI_day_14,SMA_50,SMA_25
1-Oct-15,608.37,612.09,599.85,611.29,1867601,2.92,2.92,0,2.5521428571,-3.5621428571,0.7164628033,1.7164628033,41.7406542052,628.5112,619.6596
30-Sep-15,603.28,608.76,600.73,608.42,2413441,5.14,5.14,0,2.7742857143,-3.5621428571,0.7788249449,1.7788249449,43.7831135161,629.5888,618.6052
29-Sep-15,597.28,605,590.22,594.97,2310284,-2.31,0,-2.31,2.7742857143,-4.0042857143,0.6928291117,1.6928291117,40.9272918863,630.9498,618.3908
28-Sep-15,610.34,614.6,589.38,594.89,3127667,-15.45,0,-15.45,2.9292857143,-2.9007142857,1.0098497907,2.0098497907,50.245037981,632.5106,619.0944
25-Sep-15,629.77,629.77,611,611.97,2174009,-17.8,0,-17.8,2.9792857143,-1.6292857143,1.8285839544,2.8285839544,64.6466212028,631.8682,620.4888
24-Sep-15,616.64,627.32,612.4,625.8,2240098,9.16,9.16,0,2.325,-2.3971428571,0.9699046484,1.9699046484,49.2361216155,630.5566,621.8928
23-Sep-15,622.05,628.93,620,622.36,1470949,0.31,0.31,0,2.9278571429,-2.3971428571,1.2213945173,2.2213945173,54.9832327301,629.3314,623.2436
22-Sep-15,627,627.55,615.43,622.69,2562869,-4.31,0,-4.31,2.9278571429,-2.4157142857,1.2120047309,2.2120047309,54.7921400886,627.8086,624.7708
21-Sep-15,634.4,636.49,625.94,635.44,1788506,1.04,1.04,0,2.8535714286,-3.0792857143,0.9266991417,1.9266991417,48.0977606552,625.7024,625.638
18-Sep-15,636.79,640,627.02,629.25,5133386,-7.54,0,-7.54,2.8535714286,-2.715,1.0510392002,2.0510392002,51.2442278094,623.531,626.726
17-Sep-15,637.79,650.9,635.02,642.9,2274690,5.11,5.11,0,2.4885714286,-2.8428571429,0.8753768844,1.8753768844,46.6773847806,621.0096,627.3924
16-Sep-15,635.47,637.95,632.32,635.98,1286454,0.51,0.51,0,3.7571428571,-2.8428571429,1.3216080402,2.3216080402,56.9264069261,618.7904,628.3844
15-Sep-15,626.7,638.7,623.78,635.14,2084397,8.44,8.44,0,3.1542857143,-5.1892857143,0.6078458362,1.6078458362,37.8049824502,616.5448,628.328
14-Sep-15,625.7,625.86,619.43,623.24,1702271,-2.46,0,-2.46,4.3407142857,-5.0135714286,0.865792848,1.865792848,46.4034819791,614.548,628.8104
11-Sep-15,619.75,625.78,617.42,625.77,1373545,6.02,6.02,0,3.9107142857,-6.9635714286,0.5615960611,1.5615960611,35.9629532317,612.4694,629.4868
10-Sep-15,613.1,624.16,611.43,621.35,1900526,8.25,8.25,0,3.3214285714,-7.58,0.4381831888,1.4381831888,30.4678285937,610.4526,630.384
9-Sep-15,621.22,626.52,609.6,612.72,1702094,-8.5,0,-8.5,3.6285714286,-6.9728571429,0.520385167,1.520385167,34.2271931008,608.6286,631.0452
8-Sep-15,612.49,616.31,604.12,614.66,2279538,2.17,2.17,0,3.4735714286,-7.385,0.4703549666,1.4703549666,31.989211946,606.9692,631.7072
4-Sep-15,600,603.47,595.25,600.7,2089453,0.7,0.7,0,3.7142857143,-7.385,0.5029499952,1.5029499952,33.4641868847,605.6598,632.7036
3-Sep-15,617,619.71,602.82,606.25,1759572,-10.75,0,-10.75,3.865,-6.6171428571,0.5840889465,1.5840889465,36.8722316865,604.2916,633.7572
2-Sep-15,605.59,614.34,599.71,614.34,2575620,8.75,8.75,0,3.24,-6.8221428571,0.4749240917,1.4749240917,32.1999006176,602.8144,634.4608
